Action ID	Label	Description	Context Categories	Source Origins	Notes
action-shoulder-rub-while-jackie-rambles	Shoulder rub while Jackie rambles	touch + being listened to	care-pampering:1.00	reward|Rewards 100|15	Combines care and attention.
action-shower-spray-over-forehead-face-for-a-few-seconds	Shower spray over forehead/face for a few seconds	water-on-face aversion	sensory-intensity:1.00	punishment|Sensory-Control 100|7	Safety/structure: Never obstruct breathing; eyes can close; brief only.
action-silent-correction-period	Silent correction period	serious tone — removes banter	playful-psychological:1.00	punishment|Creative Pain 100|96	Safety/structure: Keep safety communication open.
action-silent-impact-round	Silent impact round	sting/thud — serious ritual tone	impact:1.00;playful-psychological:1.00	punishment|Creative Pain 100|17;punishment|Pain Batch 2|28	Safety/structure: Keep communication channel for safety.
action-single-clothespin-endurance-hold	Single clothespin endurance hold	focused pinch — stillness	sensory-intensity:1.00	punishment|Creative Pain 100|26	Safety/structure: Short, monitored interval.
action-sit-for-sixty-seconds-after-finishing-before-youre-allowed-to-mark-it-done	Sit for sixty seconds after finishing before you're allowed to mark it done	Delayed closure	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|78	Safety/structure: Known timer.
action-sit-on-a-deliberately-wrinkled-towel	Sit on a deliberately wrinkled towel	Persistent uneven texture	sensory-intensity:1.00	punishment|Nontraditional 100|54;punishment|Sensory-Control 100|46	Safety/structure: No pressure points or sharp folds. | Safety/structure: No sharp folds.
action-sit-with-one-foot-on-a-soft-mat-and-one-on-bare-floor	Sit with one foot on a soft mat and one on bare floor	Uneven sensory input	playful-psychological:0.50;sensory-intensity:0.75	punishment|Nontraditional 100|11	Safety/structure: Stable seated position.
action-skip-one-low-value-chore	Skip one low-value chore	responsibility relief	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|95	Never essential pet/health/safety tasks.
action-slapper-leather-paddle	Slapper / leather paddle	fast sting with sound — anticipation + noise add psychological weight	impact:1.00	punishment|Pain Batch 2|3	
action-slapper-impacts	Slapper impacts	fast sting + noise — sound amplifies anticipation	impact:1.00	punishment|Creative Pain 100|9	Safety/structure: Noise can make it feel harsher than it is.
action-sleep-in-morning	Sleep-in morning	rest + responsibility relief	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|97	Only when schedule allows.
action-slow-impact-countdown	Slow impact countdown	anticipation-heavy — psychologically stronger without needing higher force	playful-psychological:1.00	punishment|Pain Batch 2|13	
action-slow-squat-hold	Slow squat hold	thigh burn — stillness + discipline	accountability-structure:0.75;sensory-intensity:1.00	punishment|Creative Pain 100|45;punishment|Creative Punishments|6	Safety/structure: Avoid if knees are unhappy. | Short intervals; avoid pushing through joint pain.
action-slow-count-impact-set	Slow-count impact set	building sting — anticipation between strikes	impact:1.00	punishment|Creative Pain 100|12	Safety/structure: Known maximum count.
action-soft-leather-paddle	Soft leather paddle	sting + light thud — formal discipline vibe	impact:1.00	punishment|Creative Pain 100|4	Safety/structure: Easy to modulate.
action-something-sweet	Something sweet	tiny dopamine	choice-privilege:1.00	reward|Rewards 100|52	Already confirmed reward.
action-sort-a-small-set-by-category-leave-one-item-deliberately-misplaced	Sort a small set by category, leave one item deliberately misplaced	Classification itch	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|25	Safety/structure: Tiny, bounded task.
action-sort-alphabetically-when-another-system-would-be-faster	Sort alphabetically when another system would be faster	Arbitrary rule + inefficiency	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|86	Safety/structure: Tiny dataset.
action-sort-by-two-rules-at-once	Sort by two rules at once	Working-memory load — multi-constraint processing	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|55	Safety/structure: Small dataset.
action-sort-cards-but-leave-one-intentionally-out-of-order	Sort cards but leave one intentionally out of order	pattern violation	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|87	Safety/structure: Small set.
action-sort-cards-by-suit-while-answering-simple-questions	Sort cards by suit while answering simple questions	Divided attention — cognitive interference	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|44	Safety/structure: Questions remain easy/non-emotional.
action-sort-ten-items-one-by-one-with-hands-returning-to-lap-between-each	Sort ten items one-by-one with hands returning to lap between each	Forced reset between actions	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|70	Safety/structure: Safe seated task.
action-spa-bath-prepared-by-taylor	Spa bath prepared by Taylor	zero planning + pampering	care-pampering:1.00	reward|Rewards 100|5	Bath, towel, drink, and products ready.
action-speak-at-intentionally-half-normal-speed-for-one-minute	Speak at intentionally half-normal speed for one minute	Speech pacing constraint	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|67	Safety/structure: Keep it playful, not during distress.
action-special-cuddle-position-reward	Special cuddle-position reward	Jackie gets exactly the cuddle setup she wants	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|15	Focus on intentionality.
action-specific-good-girl-praise	Specific 'good girl' praise	D/s recognition + being seen	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|67	Tie it to the actual behavior/effort.
action-spell-a-chosen-sentence-aloud-while-maintaining-posture	Spell a chosen sentence aloud while maintaining posture	Language + physical focus — dual-task demand	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|51	Safety/structure: Posture mild and safe.
action-spoiled-passenger-hour	Spoiled-passenger hour	Taylor handles navigation, ordering, timing, logistics	care-pampering:0.75;service:0.75	reward|Rewards Bonus|70	Jackie just comes along.
action-squish-a-sealed-gel-stress-toy-slowly	Squish a sealed gel stress toy slowly	Yielding texture + anticipation	sensory-intensity:1.00	punishment|Nontraditional 100|59	Safety/structure: Only if this is actually aversive; otherwise it's just sensory play.
action-squish-peeled-grapes-by-hand	Squish peeled grapes by hand	mushy + wet + residue	sensory-intensity:1.00	punishment|Sensory-Control 100|38	Safety/structure: Food-safe, short duration.
action-stack-objects-neatly-except-one-rotated-90-degrees	Stack objects neatly except one rotated 90 degrees	Pattern violation	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|27	Safety/structure: Stable, non-breakable objects.
action-stack-ten-objects-neatly-with-one-hand	Stack ten objects neatly with one hand	Precision + artificial constraint — motor frustration	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|46	Safety/structure: Use unbreakable light objects.
action-stand-under-shower-spray-without-turning-away-for-a-short-count	Stand under shower spray without turning away for a short count	face/body water + obedience	sensory-intensity:1.00	punishment|Sensory-Control 100|18	Safety/structure: Do not require face exposure if breathing feels affected.
action-start-a-tiny-puzzle-and-stop-one-piece-before-completion	Start a tiny puzzle and stop one piece before completion	Near-completion frustration	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|35	Safety/structure: Use a very small puzzle.
action-start-folding-a-towel-perfectly-then-stop-halfway	Start folding a towel perfectly, then stop halfway	Completion itch	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|22	Safety/structure: Leave only briefly.
action-state-assumptions-before-questions	State assumptions before questions	Cannot instantly interrogate ambiguity — structured restraint	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|72	Safety/structure: Low-stakes scenario.
action-state-facts-first-interpretations-second	State facts first, interpretations second	structured verbal control	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|56	Safety/structure: Useful only in playful/low-stakes scenarios.
action-state-one-concrete-next-time-plan	State one concrete next-time plan	closure — behavior-focused correction	playful-psychological:1.00	punishment|Creative Pain 100|92	Safety/structure: Useful end ritual.
action-state-what-happened-without-explanation-first	State what happened without explanation first	directness — separates fact from justification	playful-psychological:1.00	punishment|Creative Pain 100|91	Safety/structure: Follow with context afterward.
action-state-what-youll-do-differently-next-time	State what you'll do differently next time	Closure	playful-psychological:1.00	punishment|Creative Punishments|27	Good for resolving the consequence cleanly.
action-static-lunge-hold	Static lunge hold	leg burn — discipline + balance	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|53	Safety/structure: Keep knee alignment safe.
action-static-posture-after-impact	Static posture after impact	muscle fatigue + after-sting — composure	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|60	Safety/structure: Keep posture reasonable.
action-stay-in-designated-spot-until-dismissed	Stay in designated spot until dismissed	anticipation — authority + containment	protocol-obedience:1.00	punishment|Creative Pain 100|79	Safety/structure: Known maximum duration.
action-stay-in-place-until-formally-dismissed	Stay in place until formally dismissed	Anticipation + authority	protocol-obedience:1.00	punishment|Creative Punishments|15	Use a known maximum duration.
action-step-barefoot-on-peeled-grapes-in-a-contained-tray	Step barefoot on peeled grapes in a contained tray	Wet + yielding + unpredictable squish	sensory-intensity:1.00	punishment|Nontraditional 100|42	Safety/structure: Non-slip setup; seated support nearby; clean immediately after.
action-step-barefoot-on-peeled-grapes-in-a-tray	Step barefoot on peeled grapes in a tray	wet + yielding + unpredictable squish	sensory-intensity:1.00	punishment|Sensory-Control 100|37	Safety/structure: Non-slip setup; clean immediately afterward.
action-stop-a-repetitive-task-one-repetition-before-the-satisfying-endpoint	Stop a repetitive task one repetition before the satisfying endpoint	Interrupted rhythm	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|41	Safety/structure: Use harmless, short tasks.
action-stop-at-good-enough-when-taylor-says-done	Stop at 'good enough' when Taylor says done	completion-control transfer	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|72	Safety/structure: Only harmless artifacts.
action-stop-at-good-enough	Stop at good enough	Taylor calls the artifact done before Jackie wants to polish — completion-control transfer	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|69	Safety/structure: Only low-stakes artifact.
action-streak-celebration	Streak celebration	progress acknowledgment	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|73	Celebrate consistency rather than perfection.
action-strong-but-safe-scent-paired-with-punishment-ritual	Strong but safe scent paired with punishment ritual	Association / conditioning	sensory-intensity:1.00	punishment|Creative Punishments|39	Avoid irritants/allergens.
action-summarize-your-own-overthinking	Summarize your own overthinking	Identify where extra analysis added no value — self-audit	accountability-structure:1.00	punishment|Cognitive 100|100	Safety/structure: No shame language.
action-surprise-hour-with-nothing-expected-from-jackie	Surprise hour with nothing expected from Jackie	freedom from productivity	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|98	No 'you should be relaxing' pressure.
action-sustained-pinch-hold	Sustained pinch hold	ache + pressure — endurance	sensory-intensity:1.00	punishment|Creative Pain 100|23;punishment|Pain Batch 2|9	Safety/structure: Short duration; stop for numbness.
action-target-wander-with-drinks	Target wander with drinks	low-stakes adventure	choice-privilege:1.00	reward|Rewards 100|56	Classic browse date.
action-taylor-asks-about-current-hyperfixation-for-20-minutes	Taylor asks about current hyperfixation for 20 minutes	curiosity + feeling known	connection-attention:1.00	reward|Rewards 100|29	Follow-up questions encouraged.
action-taylor-builds-the-nest	Taylor builds the nest	Blankets, pillows, charger, drink, snack all prepared	care-pampering:0.75;connection-attention:0.75	reward|Rewards Bonus|16	Zero setup burden.
action-taylor-chooses-a-horse-topic-and-asks-jackie-to-teach-him	Taylor chooses a horse topic and asks Jackie to teach him	Special-interest attention + being known	connection-attention:1.00	reward|Rewards Bonus|9	Full attention and follow-up questions.
action-taylor-chooses-a-special-affectionate-title-for-the-evening	Taylor chooses a special affectionate title for the evening	D/s/playful recognition	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|74	Within existing dynamic.
action-taylor-chooses-a-tiny-treat-for-jackie	Taylor chooses a tiny treat for Jackie	being known + surprise	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|49	Budget-capped.
action-taylor-chooses-dinner-and-handles-ordering	Taylor chooses dinner and handles ordering	removes decision burden	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|37	Food remains supportive, never punitive.
action-taylor-chooses-from-three-agreed-options	Taylor chooses from three agreed options	Surrendered choice	playful-psychological:1.00	punishment|Creative Punishments|30	All choices remain pre-consented.
action-taylor-chooses-from-three-approved-options	Taylor chooses from three approved options	anticipation — loss of choice	playful-psychological:1.00	punishment|Creative Pain 100|86	Safety/structure: All three must be acceptable.
action-taylor-chooses-jackies-comfy-outfit	Taylor chooses Jackie's comfy outfit	care + surrender	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|43	From pre-approved comfy clothes.
action-taylor-chooses-movie-snack-cuddle-setup	Taylor chooses movie + snack + cuddle setup	complete low-stakes surrender	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|40	One bundled reward.
action-taylor-chooses-outfit-activity-meal-for-a-period	Taylor chooses outfit/activity/meal for a period	Loss of choice	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|49	Choices still respect limits and practical needs.
action-taylor-chooses-presentation-format-at-the-end	Taylor chooses presentation format at the end	Late constraint — adaptability under lost control	accountability-structure:1.00	punishment|Cognitive 100|98	Safety/structure: Formats pre-approved.
action-taylor-chooses-the-order-of-three-tiny-activities	Taylor chooses the order of three tiny activities	loss of sequencing control	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|96	Safety/structure: All optional.
action-taylor-chooses-the-order-of-three-tiny-tasks	Taylor chooses the order of three tiny tasks	Loss of prioritization control	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|90	Safety/structure: All tasks optional/non-essential.
action-taylor-chooses-the-route-stop-on-a-casual-drive	Taylor chooses the route/stop on a casual drive	zero navigation decisions	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|44	Safety/navigation overrides.
action-taylor-chooses-which-hobby-jackie-does-tonight	Taylor chooses which hobby Jackie does tonight	removes choice paralysis	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|48	Only among things Jackie wants.
action-taylor-commissions-jackie	Taylor commissions Jackie	He invents a silly intellectual challenge for her	connection-attention:0.75;playful-psychological:0.75	reward|Rewards Bonus|38	Should be fun, not work-like.
action-taylor-fixes-one-annoying-sensory-environmental-issue-jackie-has-been-tolerating	Taylor fixes one annoying sensory/environmental issue Jackie has been tolerating	resolution of persistent friction	sensory-intensity:1.00	reward|Rewards 100|91	Small practical comfort fix.
action-taylor-handles-one-annoying-household-decision	Taylor handles one annoying household decision	relief from cognitive load	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|45	Not a major financial/legal decision.
action-taylor-helps-with-skincare	Taylor helps with skincare	caretaking + ritual	care-pampering:1.00	reward|Rewards 100|12	Normal products only.
action-taylor-invents-the-next-reward	Taylor invents the next reward	He creates something new rather than using the menu	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|47	Must stay within known preferences.
action-taylor-makes-a-snack-plate	Taylor makes a snack plate	being fed/cared for without decision burden	care-pampering:1.00	reward|Rewards 100|17	Reward is care, not restricting food.
action-taylor-makes-the-plan-and-only-tells-jackie-what-she-needs-to-know	Taylor makes the plan and only tells Jackie what she needs to know	trust + reduced planning	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|50	No surprise involving hard limits.
action-taylor-picks-the-game	Taylor picks the game	letting go of choice	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|42	From mutually liked options.
action-taylor-plans-a-surprise-mini-date	Taylor plans a surprise mini-date	being planned for + novelty	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|41	Budget/location constraints agreed.
action-taylor-plans-the-whole-evening	Taylor plans the whole evening	Jackie gets to surrender logistics	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|38	Within pre-agreed preferences.
action-taylor-plays-jackies-chosen-game	Taylor plays Jackie's chosen game	interest-sharing + attention	connection-attention:1.00	reward|Rewards 100|24	Jackie chooses.
action-taylor-scores-a-pre-agreed-rubric	Taylor scores a pre-agreed rubric	Clarity, adherence, concision, etc. — evaluation + accountability	accountability-structure:1.00	punishment|Cognitive 100|86	Safety/structure: Rubric known in advance.
action-taylor-selects-a-reward-from-the-approved-menu	Taylor selects a reward from the approved menu	surprise + surrendered choice	care-pampering:0.50;restraint-control:0.75	reward|Rewards 100|46	All menu items are yeses.
action-taylor-sets-out-pajamas-comfy-clothes	Taylor sets out pajamas/comfy clothes	being looked after	care-pampering:1.00	reward|Rewards 100|19	Jackie can veto comfort issues.
action-taylor-sets-task-order	Taylor sets task order	Cannot reprioritize three tiny tasks — loss of sequencing control	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|67	Safety/structure: All tasks nonessential.
action-taylor-summarizes-what-jackie-did-well-this-week	Taylor summarizes what Jackie did well this week	meta-recognition	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|78	Useful for larger milestones.
action-taylor-takes-over-one-small-routine-task	Taylor takes over one small routine task	being cared for through labor relief	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|96	One-off, bounded.
action-taylor-tells-jackie-three-things-he-appreciated	Taylor tells Jackie three things he appreciated	specific affirmation	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|68	Concrete > generic.
action-taylor-watches-jackie-demo-a-project	Taylor watches Jackie demo a project	being seen + competence recognition	connection-attention:1.00	reward|Rewards 100|31	Full attention, not passive nearby presence.
action-taylor-knows-me-wildcard	Taylor-knows-me wildcard	Taylor invents a reward based entirely on what he knows Jackie enjoys	connection-attention:1.00;playful-psychological:0.25	reward|Rewards Bonus|84	Inside established preferences/limits.
action-teach-back-from-notes	Teach back from notes	Make notes, then hand them to Taylor and explain without looking — performance + delayed retrieval	accountability-structure:1.00	punishment|Cognitive 100|41	Safety/structure: Keep topic modest.
action-teach-it-to-me-presentation	Teach-it-to-me presentation	Research for 20 minutes, then give Taylor a 3-minute lesson — performance + evaluation	accountability-structure:1.00	punishment|Cognitive 100|25	Safety/structure: Questions should be curious, not gotcha.
action-teach-me-something-about-you-reward	Teach-me-something-about-you reward	Mutual little discovery conversation	connection-attention:1.00;playful-psychological:0.25	reward|Rewards Bonus|83	Connection through novelty.
action-tell-me-about-horses-session	Tell-me-about-horses session	special-interest attention	connection-attention:1.00	reward|Rewards 100|30	Yes, this gets its own reward 😂.
action-tell-me-im-pretty-coupon	Tell-me-I'm-pretty coupon	Redeem for explicit appearance praise	connection-attention:0.50;praise-recognition:1.00	reward|Rewards Bonus|79	Simple, direct.
action-tell-me-im-smart-and-be-specific-coupon	Tell-me-I'm-smart-and-be-specific coupon	Specific competence/intelligence praise	connection-attention:0.50;praise-recognition:1.00	reward|Rewards Bonus|80	Very Jackie-coded.
action-tell-me-what-you-noticed-reward	Tell-me-what-you-noticed reward	Taylor names a specific effort/behavior he saw	connection-attention:0.50;praise-recognition:1.00	reward|Rewards Bonus|81	Attunement as reward.
action-temporary-loss-of-one-small-choice	Temporary loss of one small choice	minor aversion — authority transfer	playful-psychological:1.00	punishment|Creative Pain 100|100	Safety/structure: Not food, medicine, sleep, hygiene, or necessities.
action-texture-based-task	Texture-based task	Sensory focus + stillness	sensory-intensity:1.00	punishment|Creative Punishments|38	Use non-damaging textures.
action-three-questions-maximum	Three questions maximum	Must choose the most valuable clarifying questions — constraint + requirements thinking	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|71	Safety/structure: Harmless assignment.
action-three-question-quota	Three-question quota	must choose clarifying questions carefully	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|60	Safety/structure: Harmless assignment.
action-three-source-synthesis	Three-source synthesis	Read three short sources and identify consensus/disagreement — synthesis under constraint	accountability-structure:1.00	punishment|Cognitive 100|24	Safety/structure: Public, low-stakes subject.
action-three-strikes-then-freeze-pattern	Three-strikes-then-freeze pattern	impact + after-sting — must regain stillness	impact:1.00	punishment|Creative Pain 100|14	Safety/structure: Safewords always override stillness.
action-thrift-store-browse	Thrift-store browse	treasure-hunt novelty	choice-privilege:1.00	reward|Rewards 100|61	Purchase optional.
action-tie-one-shoelace-neatly-and-leave-the-other-loose-while-seated	Tie one shoelace neatly and leave the other loose while seated	Unfinished pair	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|37	Safety/structure: Seated only.
action-timer-hidden-with-a-known-max	Timer hidden with a known max	Bounded uncertainty	playful-psychological:1.00	punishment|Creative Punishments|33	The maximum should be explicit in advance.
action-timer-visible	Timer visible	Watching the consequence happen	playful-psychological:1.00	punishment|Creative Punishments|32	Known endpoint can increase ritual feel.
action-tiny-adventure	Tiny adventure	Visit somewhere new within ~20 minutes	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|29	Low effort novelty.
action-tiny-certificate-silly-award	Tiny certificate / silly award	playful accomplishment ritual	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|79	Can be intentionally ridiculous.
action-tiny-harmless-crumb-under-thigh-while-seated	Tiny harmless crumb under thigh while seated	irregular low-level pressure signal	sensory-intensity:1.00	punishment|Sensory-Control 100|47	Safety/structure: Soft crumb only.
action-tiny-puzzle-stopped-one-piece-before-completion	Tiny puzzle stopped one piece before completion	near-completion frustration	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|84	Safety/structure: Small puzzle.
action-tiny-service-ritual-before-returning-to-normal	Tiny service ritual before returning to normal	Symbolic restitution	playful-psychological:1.00	punishment|Creative Punishments|57	Good for quick closure.
action-tiny-surprise-object	Tiny surprise object	A small $3–$10 thing Taylor saw and thought 'Jackie'	choice-privilege:0.75	reward|Rewards Bonus|3	Thoughtfulness > price.
action-tiny-treasure-hunt	Tiny treasure hunt	A few clues around the house leading to a treat, note, or activity	choice-privilege:0.75;playful-psychological:0.75	reward|Rewards Bonus|5	Keep playful and short.
action-tiptoe-hold-correction	Tiptoe hold + correction	calf burn + balance — annoying and obedience-heavy	accountability-structure:0.75;protocol-obedience:0.75	punishment|Pain Batch 2|19	
action-tiptoe-hold-against-wall	Tiptoe hold against wall	calf burn + balance — annoying obedience	accountability-structure:0.75;sensory-intensity:1.00	punishment|Creative Pain 100|52;punishment|Creative Punishments|7	Safety/structure: Use wall support. | Use wall support and short intervals.
action-touch-lotion-then-wait-before-wiping-hands	Touch lotion, then wait before wiping hands	Persistent residue	sensory-intensity:1.00	punishment|Nontraditional 100|51	Safety/structure: Use tolerated lotion; short duration.
action-touch-microfiber-with-dry-hands	Touch microfiber with dry hands	Catching/dry tactile sensation	sensory-intensity:1.00	punishment|Nontraditional 100|56;punishment|Sensory-Control 100|48	Safety/structure: Stop if skin irritation occurs. | Safety/structure: Stop if skin irritated.
action-touch-wet-paper-and-separate-stuck-layers	Touch wet paper and separate stuck layers	Mushy fragile texture	sensory-intensity:1.00	punishment|Nontraditional 100|45	Safety/structure: Clean paper/water only.
action-touch-wet-paper-and-separate-stuck-sheets	Touch wet paper and separate stuck sheets	mushy + fragile texture	sensory-intensity:1.00	punishment|Sensory-Control 100|41	Safety/structure: Clean water/paper.
action-transfer-small-soft-objects-between-cups-with-chopsticks	Transfer small soft objects between cups with chopsticks	Fine-motor challenge — precision under mild frustration	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|48	Safety/structure: No sharp/hot objects.
action-type-a-short-sentence-with-a-pause-after-every-word	Type a short sentence with a pause after every word	Cognitive pacing frustration	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|74	Safety/structure: Short phrase only.
action-uninterrupted-laptop-project-gremlin-hour	Uninterrupted laptop/project gremlin hour	deep-focus freedom	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|93	Taylor handles interruptions where practical.
action-unknown-emphasis-rubric	Unknown emphasis rubric	Broad rubric known but Taylor chooses one category to discuss — uncertainty	accountability-structure:1.00	punishment|Cognitive 100|87	Safety/structure: No surprise personal criteria.
action-unknown-question-round	Unknown question round	Study a topic knowing Taylor will ask one surprise question — anticipation	accountability-structure:1.00	punishment|Cognitive 100|32	Safety/structure: Question stays within studied topic.
action-upgrade-token	Upgrade token	Turn a Tier 1 reward into a deluxe version	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|57	Simple gamification.
action-use-a-deliberately-mediocre-but-safe-tool-for-a-tiny-job	Use a deliberately mediocre but safe tool for a tiny job	Tool inefficiency	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|93	Safety/structure: No damaged/unsafe tools.
action-use-a-fixed-template	Use a fixed template	Cannot redesign the format — constraint + compliance	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|75	Safety/structure: Template provided clearly.
action-use-a-fixed-template-without-redesigning-it	Use a fixed template without redesigning it	format-control surrender	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|76	Safety/structure: Temporary artifact.
action-use-a-paper-list-instead-of-preferred-digital-method-for-one-tiny-task	Use a paper list instead of preferred digital method for one tiny task	Tool preference denial	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|85	Safety/structure: No important records.
action-use-a-timer-that-requires-waiting-before-correcting-a-harmless-asymmetry	Use a timer that requires waiting before correcting a harmless asymmetry	Forced endurance of wrongness	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|80	Safety/structure: Short, agreed max.
action-use-an-intentionally-verbose-five-step-process-for-a-one-step-task	Use an intentionally verbose five-step process for a one-step task	Procedural annoyance	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|89	Safety/structure: Keep it absurd, short, and harmless.
action-use-first-acceptable-solution	Use first acceptable solution	cannot keep searching for optimal	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|71	Safety/structure: Low-stakes decision.
action-use-only-a-pre-agreed-response-format	Use only a pre-agreed response format	structured expression	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|64	Safety/structure: Safety speech exempt.
action-use-only-one-container-when-two-would-make-sorting-easier	Use only one container when two would make sorting easier	Artificial constraint	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|100	Safety/structure: Tiny task.
action-use-taylors-naming-convention	Use Taylor's naming convention	Must preserve a harmless scheme you would not choose — system-control surrender	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|73	Safety/structure: Temporary artifact only.
action-use-the-wrong-but-functional-order-for-a-simple-routine	Use the 'wrong' but functional order for a simple routine	Predictability/control disruption	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|84	Safety/structure: Keep routine non-essential.
action-use-the-first-acceptable-solution	Use the first acceptable solution	Cannot keep searching for optimal — anti-perfectionism + finality	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|80	Safety/structure: Low-stakes problem.
action-use-the-provided-inefficient-method	Use the provided inefficient method	Must follow a safe slower process even after spotting a better one — optimization denial	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|62	Safety/structure: Tiny, harmless task only.
action-visible-countdown-timer	Visible countdown timer	anticipation — watching consequence approach/end	playful-psychological:1.00	punishment|Creative Pain 100|82	Safety/structure: Known endpoint.
action-visible-gold-star-token	Visible gold-star token	Sticker/star marker for a win	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|46	Cute tangible reinforcement.
action-voice-note-praise	Voice-note praise	Taylor's voice + replayability	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|70	Can be tiny.
action-wait-20-seconds-between-each-step-of-a-simple-task	Wait 20 seconds between each step of a simple task	Interrupts natural momentum	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|63	Safety/structure: Keep total duration modest.
action-wait-20-seconds-between-task-steps	Wait 20 seconds between task steps	interrupts momentum	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|69	Safety/structure: Short total task.
action-wait-for-go-before-explaining	Wait for 'go' before explaining	delayed externalization	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|57	Safety/structure: Short known wait.
